,,,,,,,,,,,,,,,,,
Main Stat,,,,Determination,,,Direct Hit,,,Critical Hit,,,,Skill Speed,,,
460,1.35,,,865,1.035,,521,3.5%,,733,8.5%,43.5%,,912,1.035,2.41,2.7
462,1.36,,,879,1.036,,525,3.6%,,742,8.6%,43.6%,,927,1.036,2.41,2.69
464,1.37,,,893,1.037,,528,3.7%,,752,8.7%,43.7%,,941,1.037,2.4,2.69
466,1.38,,,906,1.038,,532,3.8%,,761,8.8%,43.8%,,956,1.038,2.4,2.69
468,1.39,,,920,1.039,,535,3.9%,,771,8.9%,43.9%,,970,1.039,2.4,2.69
470,1.4,,,933,1.04,,539,4.0%,,780,9.0%,44.0%,,985,1.04,2.4,2.68
472,1.41,,,947,1.041,,542,4.1%,,790,9.1%,44.1%,,1000,1.041,2.39,2.68
474,1.42,,,960,1.042,,546,4.2%,,799,9.2%,44.2%,,1014,1.042,2.39,2.68
476,1.43,,,974,1.043,,549,4.3%,,809,9.3%,44.3%,,1029,1.043,2.39,2.67
478,1.44,,,988,1.044,,552,4.4%,,818,9.4%,44.4%,,1044,1.044,2.39,2.67
480,1.45,,,1001,1.045,,556,4.5%,,828,9.5%,44.5%,,1058,1.045,2.38,2.67
482,1.46,,,1015,1.046,,559,4.6%,,837,9.6%,44.6%,,1073,1.046,2.38,2.67
484,1.47,,,1028,1.047,,563,4.7%,,847,9.7%,44.7%,,1087,1.047,2.38,2.66
486,1.48,,,1042,1.048,,566,4.8%,,856,9.8%,44.8%,,1102,1.048,2.38,2.66
488,1.49,,,1055,1.049,,570,4.9%,,866,9.9%,44.9%,,1117,1.049,2.37,2.66
490,1.5,,,1069,1.05,,573,5.0%,,875,10.0%,45.0%,,1131,1.05,2.37,2.66
492,1.51,,,1083,1.051,,577,5.1%,,885,10.1%,45.1%,,1146,1.051,2.37,2.65
494,1.52,,,1096,1.052,,580,5.2%,,894,10.2%,45.2%,,1160,1.052,2.37,2.65
496,1.53,,,1110,1.053,,584,5.3%,,904,10.3%,45.3%,,1175,1.053,2.36,2.65
498,1.54,,,1123,1.054,,587,5.4%,,913,10.4%,45.4%,,1190,1.054,2.36,2.64
500,1.55,,,1137,1.055,,590,5.5%,,923,10.5%,45.5%,,1204,1.055,2.36,2.64
502,1.56,,,1150,1.056,,594,5.6%,,932,10.6%,45.6%,,1219,1.056,2.36,2.64
504,1.57,,,1164,1.057,,597,5.7%,,942,10.7%,45.7%,,1234,1.057,2.35,2.64
506,1.58,,,1178,1.058,,601,5.8%,,951,10.8%,45.8%,,1248,1.058,2.35,2.63
508,1.59,,,1191,1.059,,604,5.9%,,961,10.9%,45.9%,,1263,1.059,2.35,2.63
510,1.6,,,1205,1.06,,608,6.0%,,970,11.0%,46.0%,,1277,1.06,2.35,2.63
512,1.61,,,1218,1.061,,611,6.1%,,980,11.1%,46.1%,,1292,1.061,2.34,2.62
514,1.62,,,1232,1.062,,615,6.2%,,989,11.2%,46.2%,,1307,1.062,2.34,2.62
516,1.63,,,1245,1.063,,618,6.3%,,999,11.3%,46.3%,,1321,1.063,2.34,2.62
518,1.64,,,1259,1.064,,622,6.4%,,1008,11.4%,46.4%,,1336,1.064,2.34,2.62
520,1.65,,,1273,1.065,,625,6.5%,,1018,11.5%,46.5%,,1350,1.065,2.33,2.61
522,1.66,,,1286,1.066,,628,6.6%,,1027,11.6%,46.6%,,1365,1.066,2.33,2.61
524,1.67,,,1300,1.067,,632,6.7%,,1037,11.7%,46.7%,,1380,1.067,2.33,2.61
526,1.68,,,1313,1.068,,635,6.8%,,1046,11.8%,46.8%,,1394,1.068,2.33,2.6
528,1.69,,,1327,1.069,,639,6.9%,,1056,11.9%,46.9%,,1409,1.069,2.32,2.6
530,1.7,,,1340,1.07,,642,7.0%,,1065,12.0%,47.0%,,1424,1.07,2.32,2.6
532,1.71,,,1354,1.071,,646,7.1%,,1075,12.1%,47.1%,,1438,1.071,2.32,2.6
534,1.72,,,1368,1.072,,649,7.2%,,1084,12.2%,47.2%,,1453,1.072,2.32,2.59
536,1.73,,,1381,1.073,,653,7.3%,,1094,12.3%,47.3%,,1467,1.073,2.31,2.59
538,1.74,,,1395,1.074,,656,7.4%,,1103,12.4%,47.4%,,1482,1.074,2.31,2.59
540,1.75,,,1408,1.075,,660,7.5%,,1113,12.5%,47.5%,,1497,1.075,2.31,2.59
542,1.76,,,1422,1.076,,663,7.6%,,1122,12.6%,47.6%,,1511,1.076,2.31,2.58
544,1.77,,,1435,1.077,,666,7.7%,,1132,12.7%,47.7%,,1526,1.077,2.3,2.58
546,1.78,,,1449,1.078,,670,7.8%,,1141,12.8%,47.8%,,1540,1.078,2.3,2.58
548,1.79,,,1463,1.079,,673,7.9%,,1151,12.9%,47.9%,,1555,1.079,2.3,2.57
550,1.8,,,1476,1.08,,677,8.0%,,1160,13.0%,48.0%,,1570,1.08,2.3,2.57
552,1.81,,,1490,1.081,,680,8.1%,,1170,13.1%,48.1%,,1584,1.081,2.29,2.57
554,1.82,,,1503,1.082,,684,8.2%,,1179,13.2%,48.2%,,1599,1.082,2.29,2.57
556,1.83,,,1517,1.083,,687,8.3%,,1189,13.3%,48.3%,,1614,1.083,2.29,2.56
558,1.84,,,1530,1.084,,691,8.4%,,1198,13.4%,48.4%,,1628,1.084,2.29,2.56
560,1.85,,,1544,1.085,,694,8.5%,,1208,13.5%,48.5%,,1643,1.085,2.28,2.56
562,1.86,,,1558,1.086,,698,8.6%,,1217,13.6%,48.6%,,1657,1.086,2.28,2.55
564,1.87,,,1571,1.087,,701,8.7%,,1227,13.7%,48.7%,,1672,1.087,2.28,2.55
566,1.88,,,1585,1.088,,704,8.8%,,1236,13.8%,48.8%,,1687,1.088,2.28,2.55
568,1.89,,,1598,1.089,,708,8.9%,,1246,13.9%,48.9%,,1701,1.089,2.27,2.55
570,1.9,,,1612,1.09,,711,9.0%,,1255,14.0%,49.0%,,1716,1.09,2.27,2.54
572,1.91,,,1625,1.091,,715,9.1%,,1265,14.1%,49.1%,,1730,1.091,2.27,2.54
574,1.92,,,1639,1.092,,718,9.2%,,1274,14.2%,49.2%,,1745,1.092,2.27,2.54
576,1.93,,,1653,1.093,,722,9.3%,,1284,14.3%,49.3%,,1760,1.093,2.26,2.53
578,1.94,,,1666,1.094,,725,9.4%,,1293,14.4%,49.4%,,1774,1.094,2.26,2.53
580,1.95,,,1680,1.095,,729,9.5%,,1303,14.5%,49.5%,,1789,1.095,2.26,2.53
582,1.96,,,1693,1.096,,732,9.6%,,1312,14.6%,49.6%,,1804,1.096,2.26,2.53
584,1.97,,,1707,1.097,,736,9.7%,,1322,14.7%,49.7%,,1818,1.097,2.25,2.52
586,1.98,,,1720,1.098,,739,9.8%,,1331,14.8%,49.8%,,1833,1.098,2.25,2.52
588,1.99,,,1734,1.099,,742,9.9%,,1341,14.9%,49.9%,,1847,1.099,2.25,2.52
590,2,,,1748,1.1,,746,10.0%,,1350,15.0%,50.0%,,1862,1.1,2.25,2.52
592,2.01,,,1761,1.101,,749,10.1%,,1360,15.1%,50.1%,,1877,1.101,2.24,2.51
594,2.02,,,1775,1.102,,753,10.2%,,1369,15.2%,50.2%,,1891,1.102,2.24,2.51
596,2.03,,,1788,1.103,,756,10.3%,,1379,15.3%,50.3%,,1906,1.103,2.24,2.51
598,2.04,,,1802,1.104,,760,10.4%,,1388,15.4%,50.4%,,1920,1.104,2.24,2.5
600,2.05,,,1815,1.105,,763,10.5%,,1398,15.5%,50.5%,,1935,1.105,2.23,2.5
602,2.06,,,1829,1.106,,767,10.6%,,1407,15.6%,50.6%,,1950,1.106,2.23,2.5
604,2.07,,,1843,1.107,,770,10.7%,,1417,15.7%,50.7%,,1964,1.107,2.23,2.5
606,2.08,,,1856,1.108,,774,10.8%,,1426,15.8%,50.8%,,1979,1.108,2.23,2.49
608,2.09,,,1870,1.109,,777,10.9%,,1436,15.9%,50.9%,,1994,1.109,2.22,2.49
610,2.1,,,1883,1.11,,780,11.0%,,1445,16.0%,51.0%,,2008,1.11,2.22,2.49
612,2.11,,,1897,1.111,,784,11.1%,,1455,16.1%,51.1%,,2023,1.111,2.22,2.48
614,2.12,,,1910,1.112,,787,11.2%,,1464,16.2%,51.2%,,2037,1.112,2.22,2.48
616,2.13,,,1924,1.113,,791,11.3%,,1474,16.3%,51.3%,,2052,1.113,2.21,2.48
618,2.14,,,1938,1.114,,794,11.4%,,1483,16.4%,51.4%,,2067,1.114,2.21,2.48
620,2.15,,,1951,1.115,,798,11.5%,,1493,16.5%,51.5%,,2081,1.115,2.21,2.47
622,2.16,,,1965,1.116,,801,11.6%,,1502,16.6%,51.6%,,2096,1.116,2.21,2.47
624,2.17,,,1978,1.117,,805,11.7%,,1512,16.7%,51.7%,,2110,1.117,2.2,2.47
626,2.18,,,1992,1.118,,808,11.8%,,1521,16.8%,51.8%,,2125,1.118,2.2,2.46
628,2.19,,,2005,1.119,,812,11.9%,,1531,16.9%,51.9%,,2140,1.119,2.2,2.46
630,2.2,,,2019,1.12,,815,12.0%,,1540,17.0%,52.0%,,2154,1.12,2.2,2.46
632,2.21,,,2033,1.121,,818,12.1%,,1550,17.1%,52.1%,,2169,1.121,2.19,2.46
634,2.22,,,2046,1.122,,822,12.2%,,1559,17.2%,52.2%,,2184,1.122,2.19,2.45
636,2.23,,,2060,1.123,,825,12.3%,,1569,17.3%,52.3%,,2198,1.123,2.19,2.45
638,2.24,,,2073,1.124,,829,12.4%,,1578,17.4%,52.4%,,2213,1.124,2.19,2.45
640,2.25,,,2087,1.125,,832,12.5%,,1588,17.5%,52.5%,,2227,1.125,2.18,2.45
642,2.26,,,2100,1.126,,836,12.6%,,1597,17.6%,52.6%,,2242,1.126,2.18,2.44
644,2.27,,,2114,1.127,,839,12.7%,,1607,17.7%,52.7%,,2257,1.127,2.18,2.44
646,2.28,,,2128,1.128,,843,12.8%,,1616,17.8%,52.8%,,2271,1.128,2.18,2.44
648,2.29,,,2141,1.129,,846,12.9%,,1626,17.9%,52.9%,,2286,1.129,2.17,2.43
650,2.3,,,2155,1.13,,850,13.0%,,1635,18.0%,53.0%,,2300,1.13,2.17,2.43
652,2.31,,,2168,1.131,,853,13.1%,,1645,18.1%,53.1%,,2315,1.131,2.17,2.43
654,2.32,,,2182,1.132,,856,13.2%,,1654,18.2%,53.2%,,2330,1.132,2.17,2.43
656,2.33,,,2195,1.133,,860,13.3%,,1664,18.3%,53.3%,,2344,1.133,2.16,2.42
658,2.34,,,2209,1.134,,863,13.4%,,1673,18.4%,53.4%,,2359,1.134,2.16,2.42
660,2.35,,,2223,1.135,,867,13.5%,,1683,18.5%,53.5%,,2374,1.135,2.16,2.42
662,2.36,,,2236,1.136,,870,13.6%,,1692,18.6%,53.6%,,2388,1.136,2.16,2.41
664,2.37,,,2250,1.137,,874,13.7%,,1702,18.7%,53.7%,,2403,1.137,2.15,2.41
666,2.38,,,2263,1.138,,877,13.8%,,1711,18.8%,53.8%,,2417,1.138,2.15,2.41
668,2.39,,,2277,1.139,,881,13.9%,,1721,18.9%,53.9%,,2432,1.139,2.15,2.41
670,2.4,,,2290,1.14,,884,14.0%,,1730,19.0%,54.0%,,2447,1.14,2.15,2.4
672,2.41,,,2304,1.141,,888,14.1%,,1740,19.1%,54.1%,,2461,1.141,2.14,2.4
674,2.42,,,2318,1.142,,891,14.2%,,1749,19.2%,54.2%,,2476,1.142,2.14,2.4
676,2.43,,,2331,1.143,,894,14.3%,,1759,19.3%,54.3%,,2490,1.143,2.14,2.39
678,2.44,,,2345,1.144,,898,14.4%,,1768,19.4%,54.4%,,2505,1.144,2.14,2.39
680,2.45,,,2358,1.145,,901,14.5%,,1778,19.5%,54.5%,,2520,1.145,2.13,2.39
682,2.46,,,2372,1.146,,905,14.6%,,1787,19.6%,54.6%,,2534,1.146,2.13,2.39
684,2.47,,,2385,1.147,,908,14.7%,,1797,19.7%,54.7%,,2549,1.147,2.13,2.38
686,2.48,,,2399,1.148,,912,14.8%,,1806,19.8%,54.8%,,2564,1.148,2.13,2.38
688,2.49,,,2413,1.149,,915,14.9%,,1816,19.9%,54.9%,,2578,1.149,2.12,2.38
690,2.5,,,2426,1.15,,919,15.0%,,1825,20.0%,55.0%,,2593,1.15,2.12,2.38
692,2.51,,,2440,1.151,,922,15.1%,,1835,20.1%,55.1%,,2607,1.151,2.12,2.37
694,2.52,,,2453,1.152,,926,15.2%,,1844,20.2%,55.2%,,2622,1.152,2.12,2.37
696,2.53,,,2467,1.153,,929,15.3%,,1854,20.3%,55.3%,,2637,1.153,2.11,2.37
698,2.54,,,2480,1.154,,932,15.4%,,1863,20.4%,55.4%,,2651,1.154,2.11,2.36
700,2.55,,,2494,1.155,,936,15.5%,,1873,20.5%,55.5%,,2666,1.155,2.11,2.36
702,2.56,,,2508,1.156,,939,15.6%,,1882,20.6%,55.6%,,2680,1.156,2.11,2.36
704,2.57,,,2521,1.157,,943,15.7%,,1892,20.7%,55.7%,,2695,1.157,2.1,2.36
706,2.58,,,2535,1.158,,946,15.8%,,1901,20.8%,55.8%,,2710,1.158,2.1,2.35
708,2.59,,,2548,1.159,,950,15.9%,,1911,20.9%,55.9%,,2724,1.159,2.1,2.35
710,2.6,,,2562,1.16,,953,16.0%,,1920,21.0%,56.0%,,2739,1.16,2.1,2.35
712,2.61,,,2575,1.161,,957,16.1%,,1930,21.1%,56.1%,,2754,1.161,2.09,2.34
714,2.62,,,2589,1.162,,960,16.2%,,1939,21.2%,56.2%,,2768,1.162,2.09,2.34
716,2.63,,,2603,1.163,,964,16.3%,,1949,21.3%,56.3%,,2783,1.163,2.09,2.34
718,2.64,,,2616,1.164,,967,16.4%,,1958,21.4%,56.4%,,2797,1.164,2.09,2.34
720,2.65,,,2630,1.165,,970,16.5%,,1968,21.5%,56.5%,,2812,1.165,2.08,2.33
722,2.66,,,2643,1.166,,974,16.6%,,1977,21.6%,56.6%,,2827,1.166,2.08,2.33
724,2.67,,,2657,1.167,,977,16.7%,,1987,21.7%,56.7%,,2841,1.167,2.08,2.33
726,2.68,,,2670,1.168,,981,16.8%,,1996,21.8%,56.8%,,2856,1.168,2.08,2.32
728,2.69,,,2684,1.169,,984,16.9%,,2006,21.9%,56.9%,,2870,1.169,2.07,2.32
730,2.7,,,2698,1.17,,988,17.0%,,2015,22.0%,57.0%,,2885,1.17,2.07,2.32
732,2.71,,,2711,1.171,,991,17.1%,,2025,22.1%,57.1%,,2900,1.171,2.07,2.32
734,2.72,,,2725,1.172,,995,17.2%,,2034,22.2%,57.2%,,2914,1.172,2.07,2.31
736,2.73,,,2738,1.173,,998,17.3%,,2044,22.3%,57.3%,,2929,1.173,2.06,2.31
738,2.74,,,2752,1.174,,1002,17.4%,,2053,22.4%,57.4%,,2944,1.174,2.06,2.31
740,2.75,,,2765,1.175,,1005,17.5%,,2063,22.5%,57.5%,,2958,1.175,2.06,2.31
742,2.76,,,2779,1.176,,1008,17.6%,,2072,22.6%,57.6%,,2973,1.176,2.06,2.3
744,2.77,,,2793,1.177,,1012,17.7%,,2082,22.7%,57.7%,,2987,1.177,2.05,2.3
746,2.78,,,2806,1.178,,1015,17.8%,,2091,22.8%,57.8%,,,,#VALUE!,#VALUE!
748,2.79,,,2820,1.179,,1019,17.9%,,2101,22.9%,57.9%,,,,#VALUE!,#VALUE!
750,2.8,,,2833,1.18,,1022,18.0%,,2110,23.0%,58.0%,,,,#VALUE!,#VALUE!
752,2.81,,,2847,1.181,,1026,18.1%,,2120,23.1%,58.1%,,,,#VALUE!,#VALUE!
754,2.82,,,2860,1.182,,1029,18.2%,,2129,23.2%,58.2%,,,,#VALUE!,#VALUE!
756,2.83,,,2874,1.183,,1033,18.3%,,2139,23.3%,58.3%,,,,#VALUE!,#VALUE!
758,2.84,,,2888,1.184,,1036,18.4%,,2148,23.4%,58.4%,,,,#VALUE!,#VALUE!
760,2.85,,,2901,1.185,,1040,18.5%,,2158,23.5%,58.5%,,,,#VALUE!,#VALUE!
762,2.86,,,2915,1.186,,1043,18.6%,,2167,23.6%,58.6%,,,,#VALUE!,#VALUE!
764,2.87,,,2928,1.187,,1046,18.7%,,2177,23.7%,58.7%,,,,#VALUE!,#VALUE!
766,2.88,,,2942,1.188,,1050,18.8%,,2186,23.8%,58.8%,,,,#VALUE!,#VALUE!
768,2.89,,,2955,1.189,,1053,18.9%,,2196,23.9%,58.9%,,,,#VALUE!,#VALUE!
770,2.9,,,2969,1.19,,1057,19.0%,,2205,24.0%,59.0%,,,,#VALUE!,#VALUE!
772,2.91,,,2983,1.191,,1060,19.1%,,2215,24.1%,59.1%,,,,#VALUE!,#VALUE!
774,2.92,,,2996,1.192,,1064,19.2%,,2224,24.2%,59.2%,,,,#VALUE!,#VALUE!
776,2.93,,,,,,1067,19.3%,,2234,24.3%,59.3%,,,,#VALUE!,#VALUE!
778,2.94,,,,,,1071,19.4%,,2243,24.4%,59.4%,,,,#VALUE!,#VALUE!
780,2.95,,,,,,1074,19.5%,,2253,24.5%,59.5%,,,,#VALUE!,#VALUE!
782,2.96,,,,,,1078,19.6%,,2262,24.6%,59.6%,,,,#VALUE!,#VALUE!
784,2.97,,,,,,1081,19.7%,,2272,24.7%,59.7%,,,,#VALUE!,#VALUE!
786,2.98,,,,,,1084,19.8%,,2281,24.8%,59.8%,,,,#VALUE!,#VALUE!
788,2.99,,,,,,1088,19.9%,,2291,24.9%,59.9%,,,,#VALUE!,#VALUE!
790,3,,,,,,1091,20.0%,,2300,25.0%,60.0%,,,,#VALUE!,#VALUE!
792,3.01,,,,,,1095,20.1%,,2310,25.1%,60.1%,,,,#VALUE!,#VALUE!
794,3.02,,,,,,1098,20.2%,,2319,25.2%,60.2%,,,,#VALUE!,#VALUE!
796,3.03,,,,,,1102,20.3%,,2329,25.3%,60.3%,,,,#VALUE!,#VALUE!
798,3.04,,,,,,1105,20.4%,,2338,25.4%,60.4%,,,,#VALUE!,#VALUE!
800,3.05,,,,,,1109,20.5%,,2348,25.5%,60.5%,,,,#VALUE!,#VALUE!
802,3.06,,,,,,1112,20.6%,,2357,25.6%,60.6%,,,,#VALUE!,#VALUE!
804,3.07,,,,,,1116,20.7%,,2367,25.7%,60.7%,,,,#VALUE!,#VALUE!
806,3.08,,,,,,1119,20.8%,,2376,25.8%,60.8%,,,,#VALUE!,#VALUE!
808,3.09,,,,,,1122,20.9%,,2386,25.9%,60.9%,,,,#VALUE!,#VALUE!
810,3.1,,,,,,1126,21.0%,,2395,26.0%,61.0%,,,,#VALUE!,#VALUE!
812,3.11,,,,,,1129,21.1%,,2405,26.1%,61.1%,,,,#VALUE!,#VALUE!
814,3.12,,,,,,1133,21.2%,,2414,26.2%,61.2%,,,,#VALUE!,#VALUE!
816,3.13,,,,,,1136,21.3%,,2424,26.3%,61.3%,,,,#VALUE!,#VALUE!
818,3.14,,,,,,1140,21.4%,,2433,26.4%,61.4%,,,,#VALUE!,#VALUE!
820,3.15,,,,,,1143,21.5%,,2443,26.5%,61.5%,,,,#VALUE!,#VALUE!
822,3.16,,,,,,1147,21.6%,,2452,26.6%,61.6%,,,,#VALUE!,#VALUE!
824,3.17,,,,,,1150,21.7%,,2462,26.7%,61.7%,,,,#VALUE!,#VALUE!
826,3.18,,,,,,1154,21.8%,,2471,26.8%,61.8%,,,,#VALUE!,#VALUE!
828,3.19,,,,,,1157,21.9%,,2481,26.9%,61.9%,,,,#VALUE!,#VALUE!
830,3.2,,,,,,1160,22.0%,,2490,27.0%,62.0%,,,,#VALUE!,#VALUE!
832,3.21,,,,,,1164,22.1%,,2500,27.1%,62.1%,,,,#VALUE!,#VALUE!
834,3.22,,,,,,1167,22.2%,,2509,27.2%,62.2%,,,,#VALUE!,#VALUE!
836,3.23,,,,,,1171,22.3%,,2519,27.3%,62.3%,,,,#VALUE!,#VALUE!
838,3.24,,,,,,1174,22.4%,,2528,27.4%,62.4%,,,,#VALUE!,#VALUE!
840,3.25,,,,,,1178,22.5%,,2538,27.5%,62.5%,,,,#VALUE!,#VALUE!
842,3.26,,,,,,1181,22.6%,,2547,27.6%,62.6%,,,,#VALUE!,#VALUE!
844,3.27,,,,,,1185,22.7%,,2557,27.7%,62.7%,,,,#VALUE!,#VALUE!
846,3.28,,,,,,1188,22.8%,,2566,27.8%,62.8%,,,,#VALUE!,#VALUE!
848,3.29,,,,,,1192,22.9%,,2576,27.9%,62.9%,,,,#VALUE!,#VALUE!
850,3.3,,,,,,1195,23.0%,,2585,28.0%,63.0%,,,,#VALUE!,#VALUE!
852,3.31,,,,,,1198,23.1%,,2595,28.1%,63.1%,,,,#VALUE!,#VALUE!
854,3.32,,,,,,1202,23.2%,,2604,28.2%,63.2%,,,,#VALUE!,#VALUE!
856,3.33,,,,,,1205,23.3%,,2614,28.3%,63.3%,,,,#VALUE!,#VALUE!
858,3.34,,,,,,1209,23.4%,,2623,28.4%,63.4%,,,,#VALUE!,#VALUE!
860,3.35,,,,,,1212,23.5%,,2633,28.5%,63.5%,,,,#VALUE!,#VALUE!
862,3.36,,,,,,1216,23.6%,,2642,28.6%,63.6%,,,,#VALUE!,#VALUE!
864,3.37,,,,,,1219,23.7%,,2652,28.7%,63.7%,,,,#VALUE!,#VALUE!
866,3.38,,,,,,1223,23.8%,,2661,28.8%,63.8%,,,,#VALUE!,#VALUE!
868,3.39,,,,,,1226,23.9%,,2671,28.9%,63.9%,,,,#VALUE!,#VALUE!
870,3.4,,,,,,1230,24.0%,,2680,29.0%,64.0%,,,,#VALUE!,#VALUE!
872,3.41,,,,,,1233,24.1%,,2690,29.1%,64.1%,,,,#VALUE!,#VALUE!
874,3.42,,,,,,1236,24.2%,,2699,29.2%,64.2%,,,,#VALUE!,#VALUE!
876,3.43,,,,,,1240,24.3%,,2709,29.3%,64.3%,,,,#VALUE!,#VALUE!
878,3.44,,,,,,1243,24.4%,,2718,29.4%,64.4%,,,,#VALUE!,#VALUE!
880,3.45,,,,,,1247,24.5%,,2728,29.5%,64.5%,,,,#VALUE!,#VALUE!
882,3.46,,,,,,1250,24.6%,,2737,29.6%,64.6%,,,,#VALUE!,#VALUE!
884,3.47,,,,,,1254,24.7%,,2747,29.7%,64.7%,,,,#VALUE!,#VALUE!
886,3.48,,,,,,1257,24.8%,,2756,29.8%,64.8%,,,,#VALUE!,#VALUE!
888,3.49,,,,,,1261,24.9%,,2766,29.9%,64.9%,,,,#VALUE!,#VALUE!
890,3.5,,,,,,1264,25.0%,,2775,30.0%,65.0%,,,,#VALUE!,#VALUE!
892,3.51,,,,,,1268,25.1%,,2785,30.1%,65.1%,,,,#VALUE!,#VALUE!
894,3.52,,,,,,1271,25.2%,,2794,30.2%,65.2%,,,,#VALUE!,#VALUE!
896,3.53,,,,,,1274,25.3%,,2804,30.3%,65.3%,,,,#VALUE!,#VALUE!
898,3.54,,,,,,1278,25.4%,,2813,30.4%,65.4%,,,,#VALUE!,#VALUE!
900,3.55,,,,,,1281,25.5%,,2823,30.5%,65.5%,,,,#VALUE!,#VALUE!
902,3.56,,,,,,1285,25.6%,,2832,30.6%,65.6%,,,,#VALUE!,#VALUE!
904,3.57,,,,,,1288,25.7%,,2842,30.7%,65.7%,,,,#VALUE!,#VALUE!
906,3.58,,,,,,1292,25.8%,,2851,30.8%,65.8%,,,,#VALUE!,#VALUE!
908,3.59,,,,,,1295,25.9%,,2861,30.9%,65.9%,,,,#VALUE!,#VALUE!
910,3.6,,,,,,1299,26.0%,,2870,31.0%,66.0%,,,,#VALUE!,#VALUE!
912,3.61,,,,,,1302,26.1%,,2880,31.1%,66.1%,,,,#VALUE!,#VALUE!
914,3.62,,,,,,1306,26.2%,,2889,31.2%,66.2%,,,,#VALUE!,#VALUE!
916,3.63,,,,,,1309,26.3%,,2899,31.3%,66.3%,,,,#VALUE!,#VALUE!
918,3.64,,,,,,1312,26.4%,,2908,31.4%,66.4%,,,,#VALUE!,#VALUE!
920,3.65,,,,,,1316,26.5%,,2918,31.5%,66.5%,,,,#VALUE!,#VALUE!
